payment_attempt_id,customer_id,amount,currency,status,created_at
pay_001533,cust_0167,441.47,USD,failed,2026-01-25T14:09:27Z
pay_004700,cust_0160,168.32,EUR,succeeded,2026-01-11T21:29:15Z
pay_003023,cust_0012,67.61,USD,succeeded,2026-01-14T23:40:09Z
pay_003385,cust_0111,75.11,USD,pending,2026-01-23T18:30:31Z
pay_004284,cust_0396,216.50,USD,failed,2026-01-14T00:47:17Z
pay_004708,cust_0194,306.77,USD,succeeded,2026-01-15T12:03:35Z
pay_002358,cust_0082,85.81,USD,failed,2026-01-29T22:30:40Z
pay_002940,cust_0357,59.01,GBP,succeeded,2026-01-28T03:10:21Z
pay_003239,cust_0153,272.40,USD,failed,2026-01-13T01:55:56Z
pay_001909,cust_0004,17.76,USD,failed,2026-01-16T20:47:43Z
pay_005354,cust_0236,394.95,GBP,succeeded,2026-01-07T22:42:01Z
pay_000536,cust_0196,33.02,USD,succeeded,2026-01-05T05:51:34Z
pay_005075,cust_0240,367.50,USD,succeeded,2026-01-30T15:21:24Z
pay_001530,cust_0057,71.17,USD,succeeded,2026-01-07T12:03:32Z
pay_002109,cust_0194,325.95,GBP,failed,2026-01-28T17:33:03Z
pay_003987,cust_0226,409.62,USD,succeeded,2026-01-22T04:22:40Z
pay_005870,cust_0257,288.44,EUR,succeeded,2026-01-31T15:54:04Z
pay_001369,cust_0072,421.57,USD,failed,2026-01-16T00:39:27Z
pay_004173,cust_0206,241.68,GBP,succeeded,2026-01-30T16:07:38Z
pay_002178,cust_0182,419.08,USD,failed,2026-01-12T23:44:19Z
pay_000899,cust_0222,429.89,USD,failed,2026-01-20T09:43:27Z
pay_004380,cust_0107,65.63,USD,succeeded,2026-01-04T07:09:10Z
pay_004358,cust_0319,181.32,EUR,failed,2026-01-16T03:21:13Z
pay_004465,cust_0315,425.20,USD,succeeded,2026-01-06T10:58:11Z
pay_004833,cust_0011,173.31,EUR,succeeded,2026-01-15T21:01:49Z
pay_002636,cust_0342,233.34,EUR,succeeded,2026-01-11T01:20:23Z
pay_003529,cust_0302,308.42,USD,succeeded,2026-01-20T19:10:54Z
pay_004684,cust_0337,141.01,GBP,succeeded,2026-01-12T14:36:13Z
pay_002099,cust_0136,348.39,USD,succeeded,2026-01-04T17:53:51Z
pay_005177,cust_0310,144.80,USD,succeeded,2026-01-21T00:42:22Z
pay_004596,cust_0343,455.32,USD,failed,2026-01-09T20:15:16Z
pay_001815,cust_0285,248.10,EUR,succeeded,2026-01-07T08:12:36Z
pay_002546,cust_0216,490.88,EUR,succeeded,2026-01-07T17:49:27Z
pay_001806,cust_0248,304.89,USD,pending,2026-01-13T18:27:30Z
pay_003749,cust_0097,424.69,USD,succeeded,2026-01-21T13:13:01Z
pay_002275,cust_0393,295.50,GBP,pending,2026-01-18T22:11:40Z
pay_003038,cust_0148,477.17,USD,pending,2026-01-12T07:15:48Z
pay_000772,cust_0352,288.58,USD,succeeded,2026-01-08T11:22:24Z
pay_002798,cust_0266,141.34,EUR,failed,2026-01-06T04:53:16Z
pay_003623,cust_0058,279.28,USD,succeeded,2026-01-02T21:01:26Z
pay_001631,cust_0068,313.62,GBP,succeeded,2026-01-11T01:27:24Z
pay_002023,cust_0102,377.17,USD,pending,2026-01-31T12:07:46Z
pay_003566,cust_0274,150.02,USD,pending,2026-01-04T01:01:04Z
pay_004472,cust_0008,187.62,USD,succeeded,2026-01-06T07:45:04Z
pay_001362,cust_0141,149.49,GBP,succeeded,2026-01-29T07:54:36Z
pay_002531,cust_0262,436.22,EUR,succeeded,2026-01-16T20:23:44Z
pay_005002,cust_0210,463.12,USD,failed,2026-01-15T18:15:07Z
pay_005539,cust_0090,494.93,USD,succeeded,2026-01-02T17:08:11Z
pay_001684,cust_0014,386.17,USD,succeeded,2026-01-14T22:30:15Z
pay_002063,cust_0141,396.18,EUR,succeeded,2026-01-09T03:32:13Z
pay_000594,cust_0022,454.32,USD,succeeded,2026-01-22T17:06:01Z
pay_002174,cust_0371,379.52,USD,succeeded,2026-01-17T17:48:28Z
pay_001540,cust_0359,94.69,GBP,succeeded,2026-01-24T21:31:29Z
pay_003344,cust_0157,174.14,EUR,succeeded,2026-01-17T21:41:51Z
pay_004404,cust_0290,419.48,GBP,succeeded,2026-01-22T03:37:46Z
pay_004887,cust_0324,337.20,USD,failed,2026-01-22T01:20:25Z
pay_003128,cust_0356,84.33,USD,succeeded,2026-01-30T06:22:05Z
pay_004510,cust_0338,343.09,USD,succeeded,2026-01-18T20:45:27Z
pay_003786,cust_0078,320.41,EUR,succeeded,2026-01-03T22:00:46Z
pay_001813,cust_0227,317.49,USD,succeeded,2026-01-25T06:20:15Z
pay_005015,cust_0223,163.02,GBP,succeeded,2026-01-12T17:31:39Z
pay_003865,cust_0270,94.56,USD,succeeded,2026-01-09T14:39:08Z
pay_000586,cust_0298,297.07,GBP,succeeded,2026-01-19T20:04:58Z
pay_003709,cust_0057,404.83,GBP,succeeded,2026-01-19T17:15:23Z
pay_004570,cust_0004,173.78,USD,failed,2026-01-05T16:49:18Z
pay_003866,cust_0384,365.68,USD,succeeded,2026-01-27T06:24:37Z
pay_003086,cust_0314,229.26,USD,succeeded,2026-01-14T02:21:28Z
pay_004917,cust_0193,312.31,USD,succeeded,2026-01-15T07:28:59Z
pay_001488,cust_0252,455.84,GBP,succeeded,2026-01-23T22:04:12Z
pay_005071,cust_0042,71.62,USD,succeeded,2026-01-09T02:42:44Z
pay_003388,cust_0095,180.10,USD,failed,2026-01-06T06:39:51Z
pay_003586,cust_0217,203.43,GBP,failed,2026-01-18T06:00:05Z
pay_002016,cust_0244,451.98,USD,succeeded,2026-01-11T13:02:04Z
pay_000075,cust_0284,423.72,GBP,succeeded,2026-01-30T10:22:43Z
pay_000691,cust_0212,95.29,USD,failed,2026-01-07T23:11:18Z
pay_001795,cust_0337,77.39,USD,succeeded,2026-01-20T05:09:31Z
pay_005672,cust_0048,255.56,EUR,succeeded,2026-01-20T10:34:44Z
pay_003533,cust_0277,201.03,GBP,succeeded,2026-01-11T00:08:24Z
pay_003539,cust_0106,306.66,USD,failed,2026-01-29T07:25:18Z
pay_005984,cust_0207,297.36,EUR,succeeded,2026-01-01T18:15:32Z
pay_000920,cust_0171,32.32,GBP,succeeded,2026-01-22T23:33:33Z
pay_001921,cust_0020,308.62,EUR,succeeded,2026-01-14T08:32:44Z
pay_002422,cust_0161,104.03,EUR,failed,2026-01-20T06:51:07Z
pay_004425,cust_0187,443.82,GBP,succeeded,2026-01-25T06:42:27Z
pay_002429,cust_0146,164.79,USD,succeeded,2026-01-06T01:54:31Z
pay_005463,cust_0260,256.15,USD,succeeded,2026-01-28T18:05:26Z
pay_000007,cust_0129,332.22,USD,succeeded,2026-01-26T00:32:27Z
pay_005865,cust_0353,484.42,USD,failed,2026-01-31T19:59:31Z
pay_005656,cust_0312,72.47,GBP,succeeded,2026-01-30T08:37:00Z
pay_002323,cust_0043,38.36,USD,succeeded,2026-01-25T13:30:14Z
pay_000930,cust_0251,454.05,EUR,succeeded,2026-01-21T08:50:08Z
pay_005402,cust_0251,382.21,USD,succeeded,2026-01-20T14:24:06Z
pay_004316,cust_0027,126.93,EUR,succeeded,2026-01-04T13:49:16Z
pay_000984,cust_0378,98.59,USD,succeeded,2026-01-21T08:27:31Z
pay_001074,cust_0012,198.20,USD,succeeded,2026-01-11T17:46:50Z
pay_003469,cust_0398,176.95,EUR,succeeded,2026-01-16T09:04:13Z
pay_003182,cust_0329,158.12,GBP,succeeded,2026-01-05T21:26:02Z
pay_005346,cust_0356,55.30,USD,succeeded,2026-01-20T22:52:44Z
pay_003249,cust_0358,92.68,USD,succeeded,2026-01-31T03:00:38Z
pay_004661,cust_0191,363.65,USD,succeeded,2026-01-08T23:51:33Z
pay_004963,cust_0392,282.26,GBP,failed,2026-01-11T20:44:10Z
pay_006043,cust_0082,493.57,ZZZ,succeeded,2026-01-01T16:04:12Z
pay_002208,cust_0057,151.38,GBP,succeeded,2026-01-04T11:10:43Z
pay_003518,cust_0153,382.97,USD,succeeded,2026-01-29T11:53:43Z
pay_003040,cust_0094,266.42,USD,succeeded,2026-01-12T15:30:24Z
pay_004606,cust_0341,334.94,USD,succeeded,2026-01-02T00:38:09Z
pay_005606,cust_0077,456.82,USD,succeeded,2026-01-01T08:14:47Z
pay_005119,cust_0201,184.22,EUR,failed,2026-01-10T12:46:58Z
pay_003471,cust_0089,292.95,EUR,succeeded,2026-01-30T17:45:15Z
pay_001630,cust_0265,264.03,EUR,succeeded,2026-01-24T16:17:32Z
pay_005323,cust_0161,299.78,EUR,failed,2026-01-19T01:20:46Z
pay_002559,cust_0227,195.32,EUR,failed,2026-01-05T13:50:28Z
pay_001131,cust_0155,70.46,GBP,succeeded,2026-01-13T01:29:50Z
pay_000616,cust_0247,178.51,EUR,failed,2026-01-26T20:58:33Z
pay_003348,cust_0093,407.75,USD,succeeded,2026-01-13T09:38:24Z
pay_004365,cust_0369,172.34,USD,succeeded,2026-01-11T14:50:40Z
pay_001098,cust_0384,214.32,USD,succeeded,2026-01-24T06:22:37Z
pay_003232,cust_0181,307.33,USD,succeeded,2026-01-25T06:40:09Z
pay_003412,cust_0104,316.83,USD,succeeded,2026-01-04T11:14:30Z
pay_001082,cust_0320,382.90,USD,succeeded,2026-01-17T00:40:38Z
pay_001892,cust_0381,21.87,USD,succeeded,2026-01-04T06:04:40Z
pay_003727,cust_0252,285.79,USD,succeeded,2026-01-10T10:57:03Z
pay_000639,cust_0295,483.20,USD,succeeded,2026-01-09T08:51:26Z
pay_003130,cust_0356,203.61,EUR,succeeded,2026-01-22T22:19:42Z
pay_000754,cust_0087,495.13,USD,succeeded,2026-01-12T05:18:32Z
pay_001137,cust_0378,79.88,GBP,failed,2026-01-16T23:56:09Z
pay_002869,cust_0009,224.13,USD,succeeded,2026-01-29T05:54:34Z
pay_005499,cust_0224,85.98,USD,succeeded,2026-01-20T06:38:17Z
pay_000478,cust_0116,159.49,USD,failed,2026-01-23T18:19:33Z
pay_004382,cust_0329,375.59,GBP,failed,2026-01-09T23:02:26Z
pay_000839,cust_0171,56.04,EUR,failed,2026-01-15T11:22:37Z
pay_003400,cust_0344,191.11,GBP,succeeded,2026-01-03T21:30:54Z
pay_005823,cust_0087,56.07,USD,failed,2026-01-05T14:34:46Z
pay_001575,cust_0119,187.48,GBP,failed,2026-01-24T03:24:40Z
pay_002097,cust_0389,396.85,EUR,succeeded,2026-01-27T13:20:33Z
pay_001201,cust_0175,47.19,USD,succeeded,2026-01-10T15:06:36Z
pay_002170,cust_0120,387.31,USD,failed,2026-01-30T16:00:24Z
pay_004272,cust_0337,54.57,USD,failed,2026-01-29T23:00:53Z
pay_001227,cust_0084,244.96,USD,succeeded,2026-01-05T18:41:04Z
pay_002962,cust_0270,90.57,USD,failed,2026-01-07T03:51:15Z
pay_004736,cust_0333,495.23,EUR,succeeded,2026-01-31T21:51:13Z
pay_001229,cust_0287,63.79,GBP,failed,2026-01-12T04:01:01Z
pay_000286,cust_0096,231.49,USD,succeeded,2026-01-12T17:49:17Z
pay_003880,cust_0115,405.13,USD,succeeded,2026-01-28T10:08:41Z
pay_003928,cust_0302,217.85,USD,pending,2026-01-19T22:28:58Z
pay_004364,cust_0227,139.04,EUR,pending,2026-01-25T15:48:44Z
pay_002286,cust_0197,453.05,USD,succeeded,2026-01-10T02:31:34Z
pay_002731,cust_0221,346.42,USD,succeeded,2026-01-31T04:59:16Z
pay_002538,cust_0072,151.03,EUR,failed,2026-01-26T13:09:40Z
pay_005570,cust_0247,129.77,USD,succeeded,2026-01-24T06:33:44Z
pay_000109,cust_0256,283.03,USD,succeeded,2026-01-17T09:28:36Z
pay_005948,cust_0035,459.48,GBP,succeeded,2026-01-23T15:05:31Z
pay_001883,cust_0151,125.32,EUR,succeeded,2026-01-30T13:10:43Z
pay_004612,cust_0270,121.22,USD,succeeded,2026-01-27T18:58:13Z
pay_002101,cust_0231,141.27,USD,succeeded,2026-01-23T05:05:52Z
pay_001975,cust_0108,119.76,USD,succeeded,2026-01-06T22:23:19Z
pay_000423,cust_0289,349.75,USD,succeeded,2026-01-02T12:31:01Z
pay_003434,cust_0146,138.47,USD,succeeded,2026-01-08T00:37:31Z
pay_003513,cust_0115,426.41,USD,succeeded,2026-01-21T20:53:41Z
pay_005976,cust_0394,130.32,EUR,succeeded,2026-01-01T01:32:50Z
pay_001176,cust_0079,482.11,USD,succeeded,2026-01-24T16:21:58Z
pay_003808,cust_0106,115.61,USD,succeeded,2026-01-31T04:20:47Z
pay_002130,cust_0092,338.12,USD,failed,2026-01-03T16:08:10Z
pay_000281,cust_0347,492.03,USD,succeeded,2026-01-26T06:21:05Z
pay_001802,cust_0371,490.97,USD,succeeded,2026-01-15T18:19:16Z
pay_000699,cust_0198,127.35,GBP,pending,2026-01-25T07:15:06Z
pay_003163,cust_0124,77.81,USD,succeeded,2026-01-21T18:17:22Z
pay_005572,cust_0025,401.30,EUR,succeeded,2026-01-26T06:35:14Z
pay_001880,cust_0115,289.35,USD,succeeded,2026-01-19T15:13:18Z
pay_001564,cust_0152,63.96,USD,succeeded,2026-01-23T19:25:35Z
pay_003543,cust_0001,333.59,EUR,succeeded,2026-01-03T07:19:21Z
pay_002602,cust_0019,365.69,USD,failed,2026-01-22T02:26:59Z
pay_001598,cust_0066,179.54,USD,failed,2026-01-06T17:31:23Z
pay_004554,cust_0022,56.04,USD,succeeded,2026-01-20T11:34:09Z
pay_001544,cust_0173,257.38,EUR,succeeded,2026-01-14T11:04:43Z
pay_000520,cust_0253,372.54,USD,failed,2026-01-05T09:15:30Z
pay_002307,cust_0235,114.68,USD,succeeded,2026-01-31T07:24:47Z
pay_001933,cust_0067,475.39,USD,succeeded,2026-01-20T13:48:20Z
pay_000019,cust_0161,131.17,GBP,succeeded,2026-01-14T17:16:03Z
pay_004099,cust_0078,306.00,USD,succeeded,2026-01-13T13:54:47Z
pay_003367,cust_0310,288.96,EUR,succeeded,2026-01-10T07:55:23Z
pay_001667,cust_0084,146.09,EUR,succeeded,2026-01-18T15:55:43Z
pay_004739,cust_0132,391.37,GBP,succeeded,2026-01-23T00:19:18Z
pay_002980,cust_0137,363.77,USD,succeeded,2026-01-14T17:57:11Z
pay_000684,cust_0158,82.08,USD,succeeded,2026-01-12T19:03:12Z
pay_005533,cust_0297,300.57,USD,failed,2026-01-12T05:31:19Z
pay_004468,cust_0090,7.36,USD,succeeded,2026-01-07T02:54:47Z
pay_004602,cust_0337,77.40,USD,succeeded,2026-01-14T11:18:01Z
pay_002344,cust_0365,474.26,EUR,succeeded,2026-01-07T22:31:57Z
