subscription_event_id,customer_id,subscription_id,event_type,plan,created_at
subevt_001811,cust_0286,sub_00790,renew,pro,2026-01-31T13:59:59Z
subevt_000204,cust_0185,sub_00085,renew,pro,2026-01-11T22:01:40Z
subevt_002350,cust_0283,sub_01022,cancel,pro,2026-01-19T18:53:21Z
subevt_001099,cust_0346,sub_00473,renew,pro,2026-01-29T05:59:43Z
subevt_002168,cust_0341,sub_00943,renew,basic,2026-01-31T01:54:33Z
subevt_000050,cust_0245,sub_00018,cancel,basic,2026-01-16T17:36:37Z
subevt_001888,cust_0349,sub_00821,renew,pro,2026-01-08T07:34:30Z
subevt_002078,cust_0090,sub_00904,start,enterprise,2026-01-16T03:30:11Z
subevt_000561,cust_0198,sub_00236,renew,basic,2026-01-26T22:13:50Z
subevt_000686,cust_0099,sub_00294,start,pro,2026-01-16T17:51:10Z
subevt_000641,cust_0368,sub_00274,start,basic,2026-01-18T14:49:26Z
subevt_001737,cust_0399,sub_00756,renew,enterprise,2026-01-31T22:33:38Z
subevt_000386,cust_0040,sub_00162,renew,basic,2026-01-22T21:36:39Z
subevt_001357,cust_0081,sub_00586,start,enterprise,2026-01-24T22:06:43Z
subevt_001344,cust_0191,sub_00581,renew,basic,2026-01-11T22:55:29Z
subevt_002340,cust_0268,sub_01019,start,enterprise,2026-01-19T23:24:45Z
subevt_002076,cust_0034,sub_00903,renew,pro,2026-01-31T12:11:43Z
subevt_000755,cust_0381,sub_00322,start,enterprise,2026-01-08T16:03:13Z
subevt_001413,cust_0035,sub_00613,start,enterprise,2026-01-13T06:36:02Z
subevt_001230,cust_0265,sub_00528,start,basic,2026-01-07T16:26:08Z
subevt_001893,cust_0170,sub_00824,renew,basic,2026-01-06T09:47:36Z
subevt_000499,cust_0350,sub_00209,renew,basic,2026-01-17T10:21:46Z
subevt_001303,cust_0003,sub_00561,renew,basic,2026-01-13T05:39:29Z
subevt_002244,cust_0239,sub_00978,renew,enterprise,2026-01-31T18:03:56Z
subevt_001551,cust_0292,sub_00675,start,basic,2026-01-02T17:55:25Z
subevt_002018,cust_0067,sub_00877,renew,enterprise,2026-01-27T22:47:18Z
subevt_000272,cust_0111,sub_00116,renew,pro,2026-01-18T09:47:49Z
subevt_001691,cust_0186,sub_00734,renew,basic,2026-01-13T06:52:52Z
subevt_000738,cust_0231,sub_00313,cancel,enterprise,2026-01-31T07:37:09Z
subevt_002354,cust_0089,sub_01024,start,basic,2026-01-31T11:29:06Z
subevt_001112,cust_0101,sub_00480,start,pro,2026-01-14T09:15:28Z
subevt_002180,cust_0280,sub_00948,start,basic,2026-01-25T00:56:17Z
subevt_000582,cust_0271,sub_00246,renew,enterprise,2026-01-17T20:53:52Z
subevt_001746,cust_0327,sub_00759,renew,enterprise,2026-01-27T12:47:05Z
subevt_001082,cust_0190,sub_00466,start,pro,2026-01-17T10:34:30Z
subevt_001032,cust_0253,sub_00445,renew,pro,2026-01-19T02:53:21Z
subevt_000547,cust_0379,sub_00231,start,pro,2026-01-23T21:42:22Z
subevt_002301,cust_0093,sub_01003,renew,enterprise,2026-01-10T01:13:27Z
subevt_001412,cust_0245,sub_00612,renew,enterprise,2026-01-31T17:26:49Z
subevt_000614,cust_0109,sub_00259,cancel,pro,2026-01-28T19:08:48Z
subevt_001643,cust_0350,sub_00712,start,basic,2026-01-14T06:44:32Z
subevt_001785,cust_0288,sub_00777,renew,basic,2026-01-08T09:56:48Z
subevt_002027,cust_0080,sub_00883,start,basic,2026-01-14T11:39:25Z
subevt_002345,cust_0323,sub_01021,start,basic,2026-01-05T09:22:48Z
subevt_001277,cust_0082,sub_00548,start,basic,2026-01-18T07:20:17Z
subevt_001593,cust_0363,sub_00691,cancel,enterprise,2026-01-15T03:47:24Z
subevt_001138,cust_0196,sub_00493,renew,pro,2026-01-20T17:27:30Z
subevt_000315,cust_0357,sub_00134,renew,pro,2026-01-28T22:14:18Z
subevt_000736,cust_0231,sub_00313,start,enterprise,2026-01-24T23:52:39Z
subevt_000516,cust_0002,sub_00216,renew,pro,2026-01-10T06:41:28Z
subevt_000560,cust_0198,sub_00236,start,basic,2026-01-25T05:17:08Z
subevt_000479,cust_0032,sub_00202,start,enterprise,2026-01-05T06:28:23Z
subevt_001991,cust_0268,sub_00865,renew,enterprise,2026-01-31T23:27:05Z
subevt_002347,cust_0283,sub_01022,start,pro,2026-01-15T01:32:39Z
